,pattern,alpha,train_rmse,test_rmse
205,PATT0000069,0.01,0.7458699590558293,0.7394694421022792
206,PATT0000069,0.1,0.7644357300565655,0.7584795234032584
207,PATT0000070,0.001,0.7432825165819763,0.7359187791131352
208,PATT0000070,0.01,0.7438866906670429,0.7365482134794592
209,PATT0000070,0.1,0.764899795810661,0.7592979144390338
210,PATT0000071,0.001,0.7172363936384978,0.713989088974319
211,PATT0000071,0.01,0.7176293220604111,0.7145877817263602
212,PATT0000071,0.1,0.7260066682673133,0.7221780593039464
213,PATT0000072,0.001,0.7171289028767218,0.7141562861376263
214,PATT0000072,0.01,0.7173001782012046,0.71412213318448
215,PATT0000072,0.1,0.7260066682673133,0.7221780593039464
216,PATT0000073,0.001,0.6669931756927736,0.6621813299897871
217,PATT0000073,0.01,0.6671535659598371,0.6623488920713383
218,PATT0000073,0.1,0.6830131373949465,0.6782887814874694
219,PATT0000074,0.001,0.7038896076046187,0.6983954214145774
220,PATT0000074,0.01,0.704127277617312,0.6988435856447868
221,PATT0000074,0.1,0.7212182135564987,0.7170597184837677
222,PATT0000075,0.001,0.6743978905351311,0.6683072961862995
223,PATT0000075,0.01,0.6751145088190337,0.6691383509854762
224,PATT0000075,0.1,0.7055853840366443,0.7010633898208013
225,PATT0000076,0.001,0.70607946612913,0.7017434754381097
226,PATT0000076,0.01,0.706705098209961,0.7024495361669174
227,PATT0000076,0.1,0.7241778258904442,0.7204171734692615
228,PATT0000077,0.001,0.7892231073024135,0.7823548291478108
229,PATT0000077,0.01,0.7896033380192026,0.7829512847115588
230,PATT0000077,0.1,0.7961987306481526,0.7908861869930601
231,PATT0000078,0.001,0.7397572501038412,0.7349081660647739
232,PATT0000078,0.01,0.7401131818016669,0.7354267861499982
233,PATT0000078,0.1,0.7525728514043206,0.7479057677723632
234,PATT0000079,0.001,0.7782551963207051,0.7720091607433924
235,PATT0000079,0.01,0.7787409528962279,0.7726305417732032
236,PATT0000079,0.1,0.7921883825759478,0.7868090480968828
237,PATT0000080,0.001,0.7505415533082251,0.744710596244477
238,PATT0000080,0.01,0.7514275699712124,0.745844016112546
239,PATT0000080,0.1,0.777611823541108,0.7721411102060446
240,PATT0000081,0.001,0.7688654182690448,0.7624109081676089
241,PATT0000081,0.01,0.7696305600475691,0.7632143317734585
242,PATT0000081,0.1,0.7891990243998334,0.7842022221516707
243,PATT0000082,0.001,0.7387206406156032,0.7328001372328429
244,PATT0000082,0.01,0.738876382829869,0.7330702910625547
245,PATT0000082,0.1,0.7525728514043206,0.7479057677723632
246,PATT0000083,0.001,0.7798315860073761,0.7725667317090058
247,PATT0000083,0.01,0.7800399183156753,0.7730276460109562
248,PATT0000083,0.1,0.7921883825759478,0.7868090480968828
249,PATT0000084,0.001,0.7507472005777299,0.7437871904634662
250,PATT0000084,0.01,0.7514722300252277,0.7446213393653324
251,PATT0000084,0.1,0.777611823541108,0.7721411102060446
252,PATT0000085,0.001,0.7700963353549817,0.7629882496139558
253,PATT0000085,0.01,0.770579212174776,0.7635657346570196
254,PATT0000085,0.1,0.7891990243998334,0.7842022221516707
255,PATT0000086,0.001,0.7427908984893115,0.7378818221074538
256,PATT0000086,0.01,0.7430192496200424,0.7381414020642165
257,PATT0000086,0.1,0.7525728514043206,0.7479057677723632
258,PATT0000087,0.001,0.7359891292755588,0.7313537886853435
259,PATT0000087,0.01,0.7366366226614636,0.7319047001205008
260,PATT0000087,0.1,0.7517509717871915,0.7470615712720943
261,PATT0000088,0.001,0.7212364664341981,0.7175339912282662
262,PATT0000088,0.01,0.7218790700769,0.7177709792425739
263,PATT0000088,0.1,0.7444277866784861,0.7401779747808346
264,PATT0000089,0.001,0.7539217318952391,0.7482318522505054
265,PATT0000089,0.01,0.7546566165670563,0.7489830058583975
266,PATT0000089,0.1,0.7772658421431513,0.7717874766294925
267,PATT0000090,0.001,0.7594199072935036,0.7533795191904737
268,PATT0000090,0.01,0.7600380058296485,0.7538815584888878
269,PATT0000090,0.1,0.7848295246151441,0.7797734125766773
270,PATT0000091,0.001,0.732430251493614,0.7284020552683299
271,PATT0000091,0.01,0.7334537067140935,0.7289820710784154
272,PATT0000091,0.1,0.7692040150259309,0.7640092765056441
273,PATT0000092,0.001,0.6768749010490419,0.6842352597788185
274,PATT0000092,0.01,0.6855551150292962,0.6883078499589448
275,PATT0000092,0.1,0.7833956207709653,0.7778058839234168
276,PATT0000093,0.001,0.7098671358143236,0.7106479820667643
277,PATT0000093,0.01,0.7158447240672742,0.7131133001382384
278,PATT0000093,0.1,0.7728463130484031,0.7667288797594877
279,PATT0000094,0.001,0.6983657078745712,0.7026275760401561
280,PATT0000094,0.01,0.7050942906229437,0.7059702158156382
281,PATT0000094,0.1,0.7856132861061041,0.7805011706562496
282,PATT0000095,0.001,0.7004159733509608,0.7017823673295193
283,PATT0000095,0.01,0.7067247761956978,0.7044238904237388
284,PATT0000095,0.1,0.7694212891443876,0.7634507649656412
285,PATT0000096,0.001,0.6861879152497089,0.6902615007890958
286,PATT0000096,0.01,0.6920683333975899,0.6926920534910316
287,PATT0000096,0.1,0.7260066682673133,0.7221780593039464
288,PATT0000097,0.001,0.7285970647448381,0.7322032192100367
289,PATT0000097,0.01,0.7352111384355132,0.7355273724844719
290,PATT0000097,0.1,0.793245837028685,0.7877917407739934
291,PATT0000098,0.001,0.7291909241589447,0.7321820254670928
292,PATT0000098,0.01,0.7355102049917729,0.7349643750007573
293,PATT0000098,0.1,0.793245837028685,0.7877917407739934
294,PATT0000099,0.001,0.6701347628320787,0.6734905445519741
295,PATT0000099,0.01,0.6762250386048443,0.6757585077021017
296,PATT0000099,0.1,0.7501703623471759,0.7453395922239313
297,PATT0000100,0.001,0.7088738318075856,0.7116420139477995
298,PATT0000100,0.01,0.7155197104189815,0.7150418297118569
299,PATT0000100,0.1,0.7889160596191185,0.7833835657073795
300,PATT0000101,0.001,0.6792257114059169,0.6812118458679591
